Layer: 1
Vertices:
(1183.81, 24542.6)
(1183.22, 24542.7)
(1183.27, 24542.9)
(1183.38, 24543.6)
(1183.51, 24544.4)
(1183.67, 24545.3)
(1183.84, 24546.4)
(1184.01, 24547.5)
(1184.18, 24548.5)
(1184.34, 24549.6)
(1184.5, 24550.7)
(1184.66, 24551.8)
(1184.81, 24552.9)
(1184.96, 24554)
(1185.11, 24555.1)
(1185.25, 24556.2)
(1185.39, 24557.3)
(1185.53, 24558.4)
(1185.66, 24559.6)
(1185.79, 24560.7)
(1185.91, 24561.8)
(1186.04, 24562.9)
(1186.15, 24564.1)
(1186.27, 24565.2)
(1186.38, 24566.4)
(1186.49, 24567.6)
(1186.59, 24568.7)
(1186.7, 24569.9)
(1186.79, 24571.1)
(1186.89, 24572.3)
(1186.98, 24573.5)
(1187.07, 24574.7)
(1187.16, 24576)
(1187.24, 24577.2)
(1187.32, 24578.5)
(1187.39, 24579.7)
(1187.47, 24581)
(1187.54, 24582.3)
(1187.6, 24583.6)
(1187.67, 24585)
(1187.73, 24586.3)
(1187.78, 24587.7)
(1187.84, 24589.1)
(1187.89, 24590.5)
(1187.94, 24592)
(1187.98, 24593.5)
(1188.02, 24595)
(1188.06, 24596.6)
(1188.1, 24598.2)
(1188.13, 24599.8)
(1188.16, 24601.5)
(1188.18, 24603.3)
(1188.21, 24605.2)
(1188.23, 24607.1)
(1188.24, 24609.2)
(1188.26, 24611.4)
(1188.27, 24613.9)
(1188.27, 24616.8)
(1188.28, 24620.2)
(1188.28, 24623.2)
(1188.28, 24624.6)
(1188.88, 24624.6)
(1188.88, 24623.2)
(1188.88, 24620.2)
(1188.87, 24616.8)
(1188.87, 24613.9)
(1188.86, 24611.4)
(1188.84, 24609.2)
(1188.83, 24607.1)
(1188.81, 24605.2)
(1188.78, 24603.3)
(1188.76, 24601.5)
(1188.73, 24599.8)
(1188.7, 24598.2)
(1188.66, 24596.6)
(1188.62, 24595)
(1188.58, 24593.5)
(1188.54, 24592)
(1188.49, 24590.5)
(1188.44, 24589.1)
(1188.38, 24587.7)
(1188.33, 24586.3)
(1188.27, 24584.9)
(1188.2, 24583.6)
(1188.14, 24582.3)
(1188.07, 24581)
(1187.99, 24579.7)
(1187.92, 24578.4)
(1187.84, 24577.2)
(1187.76, 24575.9)
(1187.67, 24574.7)
(1187.58, 24573.5)
(1187.49, 24572.3)
(1187.39, 24571.1)
(1187.29, 24569.9)
(1187.19, 24568.7)
(1187.09, 24567.5)
(1186.98, 24566.3)
(1186.87, 24565.2)
(1186.75, 24564)
(1186.63, 24562.9)
(1186.51, 24561.7)
(1186.38, 24560.6)
(1186.26, 24559.5)
(1186.12, 24558.4)
(1185.99, 24557.2)
(1185.85, 24556.1)
(1185.71, 24555)
(1185.56, 24553.9)
(1185.41, 24552.8)
(1185.26, 24551.7)
(1185.1, 24550.6)
(1184.94, 24549.5)
(1184.77, 24548.4)
(1184.6, 24547.4)
(1184.43, 24546.3)
(1184.26, 24545.2)
(1184.1, 24544.3)
(1183.97, 24543.5)
(1183.86, 24542.8)
(171.718, 24499)
(171.503, 24499.7)
(171.075, 24501)
